KILLME.RU;269;0;14.08 00:16-09.09 15:15;2008-09-12;5 of 7;?;?;-;42
BESTCOSMETICS.RU;2678;0;14.08 03:07-09.09 14:34;2006-05-13;6 of 7;?;?;-;1
BEST-COSMETICS.RU;2570;0;14.08 03:07-09.09 15:09;2006-05-13;4 of 7;?;?;-;1
BIOCOSMETICS.RU;2678;0;14.08 03:07-09.09 16:11;2007-05-23;5 of 7;?;?;-;1
BIOECOCOSMETICS.RU;2140;0;14.08 03:07-09.09 14:57;2010-11-29;1 of 7;?;?;-;1
BIO-ECO-COSMETICS.RU;2033;0;14.08 03:07-09.09 16:50;2010-11-29;1 of 7;?;?;-;1
C-HAIR.RU;2044;0;14.08 03:07-09.09 14:13;2006-11-11;3 of 7;?;?;-;1
COSMETICITY.RU;1280;0;14.08 03:07-09.09 16:07;2003-01-09;3 of 7;?;?;-;4
COSMETIC-PRO.RU;2678;0;14.08 03:07-09.09 15:04;2005-08-23;2 of 7;?;?;-;1
COSMETICSBIO.RU;2678;0;14.08 03:08-09.09 15:26;2008-04-05;5 of 7;?;?;-;1
COSMETICS-BIO.RU;2463;0;14.08 03:08-09.09 14:43;2008-04-05;0 of 7;?;?;-;1
COSMETICSDAILY.RU;1603;0;14.08 03:08-09.09 14:15;2012-09-03;2 of 7;?;?;-;1
COSMETICSDELUXE.RU;2140;0;14.08 03:08-09.09 14:27;2012-11-24;1 of 7;?;?;-;2
COSMETICS-DELUXE.RU;2033;0;14.08 03:08-09.09 16:00;2012-11-24;1 of 7;?;?;-;1
COSMETICSHAIR.RU;1603;0;14.08 03:08-09.09 14:40;2006-11-11;2 of 7;?;?;-;2
COSMETICS-HAIR.RU;1495;0;14.08 03:08-09.09 14:13;2006-11-11;2 of 7;?;?;-;2
COSMETICSHOT.RU;1603;0;14.08 03:08-09.09 16:05;2008-08-07;3 of 7;?;?;-;1
COSMETICS-HOT.RU;1495;0;14.08 03:08-09.09 16:38;2008-08-07;1 of 7;?;?;-;1
COSMETICS-INFO.RU;1022;0;14.08 03:08-09.09 14:42;2010-07-05;2 of 7;?;?;-;3
COSMETICSLUX.RU;2140;0;14.08 03:08-09.09 16:32;2007-06-17;1 of 7;?;?;-;1
COSMETICS-LUX.RU;2033;0;14.08 03:08-09.09 15:53;2007-06-17;1 of 7;?;?;-;1
COSMETICSLUXE.RU;2140;0;14.08 03:08-09.09 14:46;2006-11-06;2 of 7;?;?;-;1
COSMETICS-LUXE.RU;2033;0;14.08 03:08-09.09 16:59;2006-11-06;1 of 7;?;?;-;1
COSMETICSNEWS.RU;3216;0;14.08 03:08-09.09 15:57;2008-12-11;4 of 7;?;?;-;1
COSMETICS-NEWS.RU;3108;0;14.08 03:08-09.09 15:39;2008-12-11;1 of 7;?;?;-;1
COSMETICSONLINE.RU;2140;0;14.08 03:08-09.09 16:56;2006-11-01;5 of 7;?;?;-;1
COSMETICS-ONLINE.RU;2033;0;14.08 03:08-09.09 16:29;2006-11-01;4 of 7;?;?;-;1
